reward_today	future_reward	delay	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	fixation.started	text.started	key_resp.started	fixation.stopped	trial.stopped	key_resp.keys	key_resp.rt	key_resp.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart				k		
49	60	89	6	4	46	4	156.0957324		156.0712492	156.0957324	157.0800225	157.0800225	157.0967982	158.3215231	t	1.2221383	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
40	55	62	7	0	49	3	165.8466386		165.8203238	165.8466386	166.8310673	166.8310673	166.8476286	168.6199352	t	1.7855284	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
78	80	162	7	2	51	6	170.9304185		170.9048351	170.9304185	171.9306174	171.9306174	171.9483927	173.1037413	t	1.16834	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
67	75	119	7	3	52	5	173.1146981		173.1044373	173.1146981	174.1152502	174.1152502	174.1152502	176.6535536	t	2.5277319	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
37	50	21	7	5	54	2	178.597974		178.5731666	178.597974	179.5825364	179.5825364	179.598613	181.4547831	t	1.8672785	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
67	75	119	8	0	56	5	190.5158181		190.4918832	190.5158181	191.5002622	191.5002622	191.5168982	194.4585078	t	2.9564511	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
49	60	89	8	4	60	4	216.7018063		216.6756097	216.7018063	217.6860836	217.6860836	217.7026416	219.8093898	t	2.1187467	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
78	80	162	8	6	62	6	221.5356314		221.5127793	221.5356314	222.5199874	222.5199874	222.5367968	225.6084799	t	3.0722896	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
67	75	119	9	1	64	5	227.5031697		227.480131	227.5031697	228.4872001	228.4872001	228.504133	230.6094393	t	2.1104872	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
49	60	89	9	3	66	4	232.6218536		232.610272	232.6218536	233.6211442	233.6211442	233.6211442	235.0613315	t	1.4351115	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
40	55	62	9	4	67	3	235.0871017		235.0620877	235.0871017	236.0714997	236.0714997	236.0877289	237.4626601	t	1.375214	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
78	80	162	9	6	69	6	239.5209468		239.4971783	239.5209468	240.5055025	240.5055025	240.5221592	241.5114308	t	0.9993306	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
49	60	89	10	2	72	4	245.5881037		245.5620131	245.5881037	246.5723111	246.5723111	246.5890913	247.8980082	t	1.3168254	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
67	75	119	10	3	73	5	247.9216102		247.8992477	247.9216102	248.9062204	248.9062204	248.9228559	249.9949368	t	1.086716	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
78	80	162	10	5	75	6	251.7390894		251.7160227	251.7390894	252.723262	252.723262	252.7397057	253.6780324	t	0.9432277	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
67	75	119	11	3	80	5	261.406421		261.3820797	261.406421	262.3908529	262.3908529	262.4075187	265.2154273	t	2.806023	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
78	80	162	11	4	81	6	265.2404536		265.216603	265.2404536	266.224445	266.224445	266.2412192	269.2298717	t	2.9916338	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
49	60	89	11	5	82	4	269.2573045		269.2306258	269.2573045	270.2416453	270.2416453	270.2583599	273.6635911	t	3.4145872	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
40	55	62	11	6	83	3	273.6749323		273.664349	273.6749323	274.6749454	274.6749454	274.6749454	275.9142547	t	1.2348723	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
78	80	162	12	0	84	6	275.9413397		275.9150053	275.9413397	276.9256637	276.9256637	276.9418075	278.0342432	t	1.1018332	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
67	75	119	12	1	85	5	278.0581668		278.0354702	278.0581668	279.0581206	279.0581206	279.0757982	280.0668554	t	0.9902974	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
67	75	119	13	0	91	5	292.343916		292.3324881	292.343916	293.3437013	293.3437013	293.3437013	294.802457	t	1.4464136	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
78	80	162	13	3	94	6	299.2776232		299.2674958	299.2776232	300.2777924	300.2777924	300.2777924	301.332704	t	1.0417235	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
40	55	62	13	5	96	3	303.7115234		303.7008343	303.7115234	304.7119268	304.7119268	304.7119268	306.4505816	t	1.7372095	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
49	60	89	13	6	97	4	306.4614703		306.4513165	306.4614703	307.4784798	307.4784798	307.4784798	308.2034859	t	0.7077209	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
67	75	119	14	0	98	5	308.2278213		308.2047239	308.2278213	309.2125212	309.2125212	309.2287679	309.8177341	t	0.5977006	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
78	80	162	14	1	99	6	309.844515		309.8183947	309.844515	310.8289834	310.8289834	310.8458463	311.6519139	t	0.8111889	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
