reward_today	future_reward	delay	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	fixation.started	text.started	key_resp.started	fixation.stopped	trial.stopped	key_resp.keys	key_resp.rt	key_resp.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart					k		
15	35	13	0	0	0	1	0.2196111		0.0502777	0.2196111	1.0039121	1.0039121	1.2217498	3.82131	l	2.798576	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.102564103		
40	55	62	0	5	5	3	12.3542701		12.3313891	12.3542701	13.3399102	13.3399102	13.3556633	14.2615519	l	0.9144725	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.006048387		
11	30	7	0	6	6	0	14.2882204		14.2623311	14.2882204	15.2726229	15.2726229	15.2895104	16.1147172	l	0.8213886	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.246753247		
11	30	7	1	0	7	0	16.1229151		16.1156734	16.1229151	17.1236399	17.1236399	17.1236399	17.6808111	l	0.5395654	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.246753247		
15	35	13	1	6	13	1	25.9568989		25.9470109	25.9568989	26.9578522	26.9578522	26.9578522	27.7297283	l	0.7650063	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.102564103		
15	35	13	2	0	14	1	27.7411605		27.7304735	27.7411605	28.7411771	28.7411771	28.7411771	29.4325238	l	0.6760122	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.102564103		
11	30	7	2	1	15	0	29.4571152		29.4337329	29.4571152	30.4415147	30.4415147	30.4584176	31.014412	l	0.5615787	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.246753247		
15	35	13	3	2	23	1	47.6925776		47.6689039	47.6925776	48.676936	48.676936	48.70897	50.1334676	l	1.454607	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.102564103		
37	50	21	3	5	26	2	54.1094653		54.0860325	54.1094653	55.094087	55.094087	55.1107673	57.2664275	l	2.1598611	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.016731017		
11	30	7	3	6	27	0	57.2929021		57.2671723	57.2929021	58.2775909	58.2775909	58.2939834	59.0694476	l	0.7799461	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.246753247		
37	50	21	4	0	28	2	59.093389		59.07036	59.093389	60.0777857	60.0777857	60.0946966	61.0355999	l	0.9418002	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.016731017		
15	35	13	4	1	29	1	61.060263		61.0365301	61.060263	62.0603685	62.0603685	62.078048	63.1497097	l	1.0823898	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.102564103		
11	30	7	4	4	32	0	69.2122355		69.2012168	69.2122355	70.2122507	70.2122507	70.2122507	71.0036633	l	0.7780323	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.246753247		
11	30	7	5	2	37	0	78.562303		78.5396111	78.562303	79.5468809	79.5468809	79.5789414	80.3726606	l	0.8120907	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.246753247		
15	35	13	5	4	39	1	82.0958413		82.0716904	82.0958413	83.0801317	83.0801317	83.0963123	83.9557395	l	0.8699848	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.102564103		
15	35	13	6	4	46	1	108.6661145		108.6551366	108.6661145	109.666608	109.666608	109.666608	111.0384914	l	1.3652567	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.102564103		
11	30	7	6	6	48	0	114.1489251		114.1262058	114.1489251	115.1333742	115.1333742	115.1506881	116.5902781	l	1.4555737	None	926606	1	2024-11-21_14h31.34.883	delay discounting	2024.1.5	None	2024-11-21 14h31.43.616619 +0530					0.246753247		
