study_word	test	refrence	old_new	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	thisRow.t	notes	trial.started	text.started	slider.started	trial.stopped	slider.response	slider.rt	test.started	text_2.started	textbox.started	text_3.started	mouse.started	test.stopped	textbox.text	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate	expStart
marble				0	0	0	3					0.1339375		0.0453619	0.1339375	0.1339375	4.1211873	1.02	4.0528607															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
police				0	1	1	12					4.1487413		4.1220039	4.1487413	4.1487413	6.3535347	2.006666667	2.209101															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
phone				0	2	2	2					6.3807236		6.3537938	6.3807236	6.3807236	8.2010311	1.066666667	1.8255531															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
keys 				0	3	3	13					8.2286416		8.2012856	8.2286416	8.2286416	10.7996769	4.966666667	2.5740295															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
board				0	4	4	4					10.8277744		10.799955	10.8277744	10.8277744	12.6984247	5	1.8764073															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
mouse				0	5	5	8					12.7264614		12.698706	12.7264614	12.7264614	14.2313886	2.946666667	1.5110016															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
laptop				0	6	6	0					14.2591296		14.2316573	14.2591296	14.2591296	15.5472468	2.013333333	1.2942541															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
T-shirt				0	7	7	7					15.5748416		15.5475054	15.5748416	15.5748416	16.8464097	1.1	1.2757993															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
cushion				0	8	8	1					16.8742849		16.8466721	16.8742849	16.8742849	19.0629647	1	2.1937819															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
poster				0	9	9	14					19.0897447		19.0632572	19.0897447	19.0897447	19.9613569	1	0.8771565															926688	1	2024-11-07_11h26.38.086	priming	2024.1.5	None	2024-11-07 11h26.44.262718 +0530
